model,family,condition,div_coeff,benchmark,n,acc,logpcc,logpcc_lo,logpcc_hi,margin,margin_lo,margin_hi
gpt2-51M-557M-USPTOAndPubMedAbs,GPT2-51M-557M,mix,0.195,hellaswag,10042,0.262000,-151.646035,-153.155313,-150.150790,-0.781882,-1.749032,0.217547
gpt2-51M-557M-USPTOAndPubMedAbs,GPT2-51M-557M,mix,0.195,lambada_openai,5153,0.056472,-10.769214,-10.897567,-10.642292,nan,nan,nan
gpt2-51M-557M-USPTOAndPubMedAbs,GPT2-51M-557M,mix,0.195,winogrande,1267,0.483820,-31.216880,-32.163252,-30.294459,-0.004114,-0.083444,0.074743
gpt2-810M-2.2B-USPTOAndPubMedAbs,GPT2-810M,mix,0.195,arc_easy,2376,0.369108,-25.108735,-25.660446,-24.567514,1.213316,0.946145,1.478931
gpt2-810M-2.2B-USPTOAndPubMedAbs,GPT2-810M,mix,0.195,hellaswag,10042,0.264887,-135.733808,-137.108435,-134.367893,-0.389463,-1.322459,0.545408
gpt2-810M-2.2B-USPTOAndPubMedAbs,GPT2-810M,mix,0.195,lambada_openai,5153,0.095284,-9.872417,-10.015033,-9.731965,nan,nan,nan
gpt2-810M-2.2B-USPTOAndPubMedAbs,GPT2-810M,mix,0.195,winogrande,1267,0.516969,-29.506432,-30.408540,-28.605224,0.043490,-0.042560,0.131297
gpt2-810M-PubMedAbs,GPT2-810M,pubmed,0.168,arc_easy,2376,0.370791,-25.955451,-26.475025,-25.438915,1.327061,1.090247,1.567612
gpt2-810M-PubMedAbs,GPT2-810M,pubmed,0.168,hellaswag,10042,0.271360,-132.079000,-133.372852,-130.793210,0.298439,-0.586801,1.200510
gpt2-810M-PubMedAbs,GPT2-810M,pubmed,0.168,lambada_openai,5153,0.065593,-9.347242,-9.470924,-9.219915,nan,nan,nan
gpt2-810M-PubMedAbs,GPT2-810M,pubmed,0.168,winogrande,1267,0.487766,-26.874471,-27.722918,-26.025700,0.051063,-0.032644,0.133567
llama2-pubmed-ckpt-2,LLaMA2-7B,pubmed,0.168,arc_easy,2376,0.256734,-60.509787,-62.259764,-58.753966,-0.158025,-0.850238,0.540753
llama2-pubmed-ckpt-2,LLaMA2-7B,pubmed,0.168,hellaswag,10042,0.256124,-373.079546,-376.608465,-369.481840,-2.370730,-4.717465,-0.056818
llama2-pubmed-ckpt-2,LLaMA2-7B,pubmed,0.168,lambada_openai,5153,0.000000,-19.074485,-19.309741,-18.842335,nan,nan,nan
llama2-pubmed-ckpt-2,LLaMA2-7B,pubmed,0.168,winogrande,1267,0.500395,-70.242561,-72.116776,-68.392748,-0.009797,-0.089518,0.071974
llama2-pubmed-ckpt-7,LLaMA2-7B,pubmed,0.168,arc_easy,2376,0.255051,-60.794616,-62.575892,-59.033932,-0.198158,-0.897011,0.515545
llama2-pubmed-ckpt-7,LLaMA2-7B,pubmed,0.168,hellaswag,10042,0.257518,-376.211947,-379.840370,-372.529111,-2.529996,-4.861420,-0.174239
llama2-pubmed-ckpt-7,LLaMA2-7B,pubmed,0.168,lambada_openai,5153,0.000000,-19.107930,-19.339665,-18.875562,nan,nan,nan
llama2-pubmed-ckpt-7,LLaMA2-7B,pubmed,0.168,winogrande,1267,0.521705,-68.248630,-70.145707,-66.394656,0.030533,-0.041375,0.101709
llama2-uspto-ckpt-1,LLaMA2-7B,uspto,0.158,arc_easy,2376,0.252946,-60.356790,-62.134375,-58.623042,-0.269806,-0.988937,0.452237
llama2-uspto-ckpt-1,LLaMA2-7B,uspto,0.158,hellaswag,10042,0.255626,-371.559458,-375.078410,-367.986205,-2.485105,-4.748161,-0.167072
llama2-uspto-ckpt-1,LLaMA2-7B,uspto,0.158,lambada_openai,5153,0.000000,-19.182241,-19.415378,-18.950506,nan,nan,nan
llama2-uspto-ckpt-1,LLaMA2-7B,uspto,0.158,winogrande,1267,0.489345,-69.158311,-71.024718,-67.351712,-0.017900,-0.093239,0.056364
llama2-uspto-pubmed-ckpt-3,LLaMA2-7B,mix,0.195,arc_easy,2376,0.259680,-61.210393,-63.027688,-59.436070,-0.285238,-0.988855,0.429928
llama2-uspto-pubmed-ckpt-3,LLaMA2-7B,mix,0.195,hellaswag,10042,0.254830,-375.671034,-379.284071,-372.021134,-2.475433,-4.838745,-0.133371
llama2-uspto-pubmed-ckpt-3,LLaMA2-7B,mix,0.195,lambada_openai,5153,0.000000,-19.173388,-19.416357,-18.940973,nan,nan,nan
llama2-uspto-pubmed-ckpt-3,LLaMA2-7B,mix,0.195,winogrande,1267,0.504341,-69.591752,-71.519163,-67.743998,0.038847,-0.034165,0.112838
llama2-uspto-pubmed-ckpt-4,LLaMA2-7B,mix,0.195,arc_easy,2376,0.254209,-61.143693,-62.934081,-59.354961,-0.314033,-1.017587,0.391853
llama2-uspto-pubmed-ckpt-4,LLaMA2-7B,mix,0.195,hellaswag,10042,0.254232,-377.256848,-380.901285,-373.697364,-2.426388,-4.719088,-0.183995
llama2-uspto-pubmed-ckpt-4,LLaMA2-7B,mix,0.195,lambada_openai,5153,0.000000,-19.104506,-19.331633,-18.873750,nan,nan,nan
llama2-uspto-pubmed-ckpt-4,LLaMA2-7B,mix,0.195,winogrande,1267,0.502762,-70.712644,-72.613836,-68.877654,0.023118,-0.055767,0.100769
llama2-uspto-pubmed-ckpt-5,LLaMA2-7B,mix,0.195,arc_easy,2376,0.251684,-61.058685,-62.844220,-59.313673,-0.403690,-1.127864,0.297174
llama2-uspto-pubmed-ckpt-5,LLaMA2-7B,mix,0.195,hellaswag,10042,0.256323,-375.804380,-379.387864,-372.232625,-2.498209,-4.876659,-0.191578
llama2-uspto-pubmed-ckpt-5,LLaMA2-7B,mix,0.195,lambada_openai,5153,0.000000,-19.149036,-19.377576,-18.922546,nan,nan,nan
llama2-uspto-pubmed-ckpt-5,LLaMA2-7B,mix,0.195,winogrande,1267,0.498816,-71.044620,-72.931740,-69.215519,0.001506,-0.081931,0.084354
llama2-uspto-pubmed-ckpt-6,LLaMA2-7B,mix,0.195,arc_easy,2376,0.260943,-61.324096,-63.139619,-59.580407,-0.308168,-1.017927,0.391060
llama2-uspto-pubmed-ckpt-6,LLaMA2-7B,mix,0.195,hellaswag,10042,0.252440,-376.679862,-380.203797,-373.135994,-2.378523,-4.693724,-0.009059
llama2-uspto-pubmed-ckpt-6,LLaMA2-7B,mix,0.195,lambada_openai,5153,0.000000,-19.213975,-19.450114,-18.978927,nan,nan,nan
llama2-uspto-pubmed-ckpt-6,LLaMA2-7B,mix,0.195,winogrande,1267,0.490923,-70.945917,-72.830650,-69.074128,-0.003863,-0.076485,0.070218
